fund_id,date,nav
FND004,2026-04-02,2.4563
FND010,2026-02-27,1.9194
FND011,2026-05-22,0.9896
FND006,2025-08-05,0.8343
FND012,2026-02-19,2.3195
FND011,2025-07-17,1.0288
FND015,2025-10-31,1.0243
FND016,2026-01-02,1.2953
FND019,2025-12-15,1.2703
FND014,2026-03-23,0.8086
FND014,2025-11-06,0.9407
FND015,29 Aug 2025,1.0275
FND005,2025-09-09,1.0084
FND001,2026-04-07,1.6311
FND007,2025-09-01,1.0954
FND010,2025-09-17,1.8871
FND010,2025-07-23,1.5908
FND019,2026-03-24,1.3127
FND016,2026-01-29,1.2789
FND02,2026-06-03,1.2817
FND011,2026/05/18,1.0021
FND014,2025-07-09,0.7384
FND008,2026-05-07,3.7723
FND001,2026-01-20,1.6604
FND014,2025-12-26,0.8236
FND014,2026-03-24,RM 0.7972
FND007,2025-11-19,1.0293
FND016,2025-12-05,1.2956
FND006,2025-11-07,0.8802
FND004,2025-10-17,2.1054
FND008,2026-04-08,3.5151
FND019,2026-02-04,1.3417
FND012,2025-12-22,2.1862
FND005,2025-10-15,1.0251
FND010,2026-05-08,2.0697
FND013,2025-07-31,1.3386
FND012,2026/03/31,2.0524
FND015,2026-04-06,0.9463
FND003,2026-05-14,1.1602
FND014,2026-06-01,0.7257
FND 018,2025-08-06,1.3238
FND012,2025-10-14,2.4369
FND006,2026-03-30,0.7658
FND012,19 Dec 2025,2.1849
FND004,2025-11-04,2.1011
FND017,2026-06-30,1.3652
FND017,2026-01-13,1.2896
FND016,2025-10-09,1.3757
FND010,2025-07-21,1.621
FND005,2025-08-18,1.0025
FND008,2025-12-24,4.0755
FND003,07-22-2025,1.0782
FND015,2026-04-09,0.9473
FND010,2026-03-09,1.8759
FND003,2026-01-09,1.175
FND014,2026-02-13,0.7919
FND013,2025-07-29,1.3288
FND006,2026-06-30,0.8031
FND008,2026-01-16,3.7938
FND002,2026-02-16,1.3604
FND011,2025-09-16,1.0393
FND002,2026-04-20,1.2995
FND018,2025-07-10,1.3907
FND019,2026-01-09,1.2671
FND003,2026-05-11,1.16
FND004,2026-05-26,2.1336
FND007,2026-04-28,1.0885
FND014,2026-02-09,0.8388
FND017,2026-03-04,1.3016
FND009,2025-07-02,1.0824
FND004,2025-10-02,2.1341
FND003,2025-07-28,N/A
FND005,2025-09-17,1.0192
FND016,2026-04-22,1.3049
fnd015,2025-10-02,1.0229
FND015,2026-04-14,0.9411
FND007,2026-04-21,1.0915
FND020,2026-03-17,1.9666
FND011,2026-06-18,0.9915
FND014,2026-05-04,0.8477
FND001,2026-05-14,1.5233
FND017,2026-05-20,1.3453
FND020,2025/08/25,1.8205
FND020,2025-09-29,1.7622
FND016,2026-02-18,1.3322
FND018,2025-12-11,1.3358
FND014,2025-09-12,0.8734
FND015,2025-07-31,1.0043
FND003,2026-01-21,1.1742
FND001,2026-06-03,1.4468
FND017,2026-06-29,1.3561
FND020,2025-12-22,1.9585
FND011,2025-07-02,1.0253
FND015,2025-10-28,1.0216
FND002,2026-04-13,1.3386
FND002,2025-07-25,1.1739
FND008,2026-01-05,3.8983
FND018,2026-02-09,1.3341
FND001,2025-11-07,1.3318
FND019,2026-06-26,1.3424
FND014,2026-02-04,0.8183
FND005,2026-06-03,1.0746
FND011,2025-10-10,1.0492
FND015,2026-06-10,0.9496
FND018,2026-01-27,1.3708
FND002,2025-08-19,1.1421
FND009,2026-02-19,1.164
FND015,2026-01-01,1.0208
FND011,2026-02-16,0.9846
FND010,2025-12-08,2.0163
FND012,2025-12-15,2.2714
FND008,2025-11-14,3.8233
FND020,2026-02-17,1.9299
FND012,2026-04-21,2.0588
FND006,2026-02-02,RM 0.823
FND005,2025-12-24,1.0423
FND010,2025-11-24,2.0692
FND003,2025-09-10,1.1164
FND015,2026-04-24,0.9387
FND018,2026-06-19,1.45
FND002,2026-04-02,1.3227
FND004,2026-06-02,2.1117
FND010,2025-10-20,N/A
FND010,2026-03-23,1.9676
FND005,2026-06-11,1.0796
FND006,2026-01-29,0.8155
FND013,2025-10-23,1.3565
FND019,2025-12-29,1.2949
FND011,2025-09-19,1.0352
FND016,2025-12-09,1.3195
FND014,2026-02-10,0.8055
FND004,2026-03-09,2.3084
FND012,2025-12-30,2.0904
FND015,2025-12-24,1.0159
FND006,2026-03-24,0.7821
FND003,2026-05-01,1.1501
FND011,07 Oct 2025,1.0384
FND007,2025-09-09,1.0719
FND009,2026-06-26,1.2204
FND018,2025/10/24,1.3686
FND001,2025-11-25,1.4266
FND019,2025-12-22,1.2637
FND012,2025-08-07,2.4713
FND015,2026-04-22,0.9431
FND016,2026-02-26,1.331
FND007,2026-05-27,1.0955
FND011,2025-07-04,1.0243
FND010,2025-07-30,1.6155
FND018,2026-05-21,1.4091
FND005,2026/04/14,1.0609
FND014,2025-12-30,0.8231
FND019,04-27-2026,1.3168
FND020,2025-12-01,1.8972
FND011,2025-10-09,
FND015,2026-01-05,1.0202
FND004,2025-11-18,2.1742
FND008,2026-05-18,3.7717
FND020,2026-06-26,1.475
FND019,2025-07-28,1.2301
FND020,2025-07-24,1.9157
FND017,2026-04-16,1.3004
FND001,2025-11-04,2.6774
FND013,2026-05-06,1.3058
FND019,2025-09-26,1.2949
FND012,2026-05-15,2.3209
FND015,2025-08-06,1.007
FND010,2025-07-04,1.6563
FND014,2025-07-31,0.7099
FND005,2026-06-05,1.0733
FND014,2025-10-02,0.9432
FND003,2026-02-27,1.1697
FND006,2026-05-25,0.7521
FND007,2025-09-29,1.0698
FND020,2025-10-30,1.968
FND001,2026-01-07,1.6396
FND008,2025-10-08,3.3056
FND003,2025-09-30,1.1407
FND009,2026-03-12,1.175
FND019,2025-12-18,
FND004,2025-08-27,2.0529
FND010,2025-07-22,1.5953
FND012,2026-03-27,2.1234
FND019,2026-02-13,1.3552
FND011,2026-01-16,0.9924
FND001,2026-06-22,1.4414
FND004,2026-06-15,2.2037
FND010,2025-08-19,1.8084
FND002,2026-06-01,1.2857
FND007,2026-04-10,1.1071
FND014,2026-03-03,0.826
FND014,2026-06-25,0.7241
FND007,2026-02-16,1.0784
FND007,2026-03-13,1.1133
FND012,2025-09-02,2.5415
FND011,2025-12-24,1.0082
FND003,2025-08-08,1.0995
FND014,2026-01-12,0.8254
FND013,2025-10-30,1.3634
FND004,2026-05-20,2.2315
FND020,2026-01-12,2.0905
FND013,2026-03-26,1.3544
FND015,2025-09-23,1.0116
FND004,2025-08-29,2.1296
FND007,2026-03-18,1.1118
